1,1.3982,3.4907,10.173
2,1.8435,3.7038,10.202
3,1.4748,3.4955,9.9264
4,0.80206,3.0789,9.517
5,0.64883,3.0885,9.1985
6,0.83318,3.3327,8.5545
7,0.81642,3.5195,8.3222
8,0.31125,3.2034,9.0429
9,0.021548,3.1316,9.0573
10,0.39265,3.3686,9.0333
11,0.44293,3.5793,8.9447
12,0.27054,3.735,8.6838
13,0.10295,3.9696,8.2552
14,0.33758,4.0175,8.4204
15,0.88107,4.0151,8.9878
16,1.0008,3.7996,9.8881
17,0.83558,3.5961,10.228
18,0.34476,3.45,9.3613
19,0.04549,3.2322,8.9902
20,0.033519,3.2753,8.9543
21,0.2897,3.395,8.9376
22,0.57221,3.5291,8.734
23,0.58897,3.4716,8.6
24,0.71347,3.4381,8.3199
25,0.73023,3.383,8.497
26,0.61292,3.3351,9.402
27,0.43574,3.1963,9.6079
28,0.22266,3.2106,8.6981
29,0.22027,3.2609,8.0996
30,0.56503,3.3615,8.5569
31,1.5275,3.7278,9.6391
32,1.6903,3.8882,10.041
33,0.77093,3.6607,9.5529
34,0.18435,3.5195,8.6598
35,0.38786,3.8331,7.7069
36,0.76136,4.2066,7.3406
37,0.98641,4.3503,7.5753
38,0.88825,4.1468,8.4156
39,0.63207,3.9193,9.3134
40,0.50518,3.8762,9.5074
41,0.33279,4.0318,9.6582
42,0.15802,4.3048,9.2273
43,0,4.5945,8.5952
44,0,4.6663,8.181
45,0.055067,4.695,8.26
46,0.04549,4.5466,8.4803
47,-0.021548,4.3646,8.5186
48,0.24181,4.367,8.0685
49,0.56743,4.4484,7.7859
50,0.68714,4.3598,7.7189
51,0.44532,4.1013,8.3222
52,0.19393,3.9145,8.9471
53,0.14605,3.9241,8.825
54,0.088585,4.0438,8.0373
55,0.009577,4.3574,7.5776
56,0.2083,4.6088,7.5705
57,0.32082,4.7764,8.0397
58,0.24181,4.865,8.6886
59,-0.016759,4.8866,8.8681
60,-0.050278,4.7453,8.588
61,-0.15802,4.6663,8.5329
62,-0.23224,4.5993,9.1171
63,-0.4956,4.6256,9.4715
64,-0.33758,4.8052,9.1578
65,0.16759,5.217,9.0285
66,1.4509,5.9233,9.2823
67,2.0854,6.2273,9.8426
68,1.6137,5.9975,11.31
69,0.90501,5.1284,13.276
70,-0.34716,3.8954,13.472
71,-1.6424,3.043,12.005
72,-1.7454,3.3375,9.9383
73,0.11492,3.237,9.8138
74,1.494,2.7749,12.433
75,-0.2059,1.0415,14.37
76,-2.8515,-0.73023,12.213
77,-4.1348,-0.81163,8.1618
78,-3.9145,0.004788,6.7205
79,-1.9704,1.6209,7.5848
80,-0.63925,3.3208,8.8083
81,0.18435,4.2497,8.9519
82,0.17957,4.6376,7.1826
83,-0.32561,4.5777,6.2369
84,-0.51954,4.9799,7.0318
85,-0.63925,5.8107,9.0477
86,-0.20351,5.5043,10.781
87,-0.043096,4.537,12.069
88,0.4525,3.8427,11.684
